N Nodes      Vertices     Edges      Attemps         Operations      Time          Dominant Set
33           33           132        616             14              0.0038        {(2, 14), (0, 16), (10, 27), (21, 32), (6, 8), (1, 9), (23, 29), (19, 26), (7, 24), (11, 15), (13, 22), (28, 31), (17, 18), (4, 30)}
33           33           264        1387            15              0.0133        {(9, 10), (24, 30), (2, 4), (23, 27), (19, 26), (7, 29), (13, 16), (3, 6), (1, 32), (17, 21), (11, 18), (0, 8), (14, 15), (20, 31), (22, 28)}
33           33           396        2190            16              0.0265        {(15, 21), (4, 10), (24, 30), (0, 23), (27, 31), (1, 3), (12, 20), (11, 29), (2, 16), (5, 26), (13, 32), (8, 9), (17, 25), (19, 22), (14, 28), (7, 18)}
34           34           70         319             14              0.0015        {(30, 33), (11, 13), (27, 28), (23, 29), (6, 20), (5, 17), (4, 21), (1, 7), (0, 2), (12, 22), (8, 19), (16, 24), (3, 31), (10, 18)}
34           34           140        655             14              0.0042        {(10, 24), (0, 16), (23, 26), (15, 27), (21, 32), (6, 8), (2, 13), (12, 22), (1, 7), (9, 18), (28, 31), (5, 19), (4, 30), (11, 33)}
34           34           280        1535            16              0.0150        {(23, 27), (4, 29), (5, 19), (12, 26), (9, 28), (6, 20), (25, 31), (14, 15), (8, 13), (0, 2), (22, 32), (1, 16), (18, 21), (17, 30), (7, 24), (11, 33)}
34           34           420        2387            17              0.0294        {(1, 15), (21, 29), (3, 33), (12, 20), (10, 27), (4, 13), (26, 30), (2, 7), (8, 16), (14, 32), (9, 19), (0, 31), (23, 25), (5, 6), (18, 24), (22, 28), (11, 17)}
35           35           74         324             13              0.0016        {(7, 33), (24, 27), (4, 13), (21, 23), (1, 30), (0, 2), (20, 29), (6, 32), (10, 25), (11, 18), (12, 34), (3, 31), (22, 28)}
35           35           148        754             16              0.0049        {(0, 23), (7, 33), (24, 27), (15, 34), (8, 14), (1, 21), (12, 17), (19, 26), (11, 32), (6, 20), (2, 13), (10, 16), (9, 18), (28, 31), (22, 25), (4, 30)}
35           35           297        1611            16              0.0159        {(0, 23), (4, 16), (7, 17), (5, 30), (10, 33), (1, 8), (9, 11), (21, 22), (6, 20), (14, 26), (27, 32), (24, 28), (13, 18), (2, 15), (3, 31), (29, 34)}
35           35           446        2569            17              0.0324        {(5, 31), (10, 11), (7, 17), (0, 14), (25, 28), (1, 24), (9, 22), (18, 29), (8, 16), (6, 33), (20, 26), (4, 15), (13, 32), (3, 19), (21, 27), (2, 34), (23, 30)}
36           36           78         381             14              0.0018        {(24, 27), (6, 15), (1, 11), (30, 32), (7, 13), (21, 25), (0, 2), (9, 18), (12, 34), (20, 29), (3, 22), (19, 28), (4, 33), (14, 31)}
36           36           157        787             16              0.0051        {(24, 30), (6, 15), (23, 26), (3, 17), (10, 27), (2, 16), (0, 9), (8, 29), (11, 31), (12, 34), (1, 32), (19, 28), (22, 35), (4, 33), (13, 21), (7, 18)}
36           36           315        1833            17              0.0186        {(3, 24), (13, 27), (7, 14), (20, 23), (10, 17), (4, 28), (0, 9), (6, 33), (5, 26), (31, 35), (22, 32), (11, 15), (16, 18), (1, 29), (12, 34), (8, 21), (2, 30)}
36           36           472        2823            18              0.0363        {(0, 16), (2, 30), (14, 33), (10, 27), (25, 28), (1, 24), (12, 29), (7, 35), (5, 26), (8, 9), (4, 18), (22, 32), (23, 34), (6, 19), (13, 21), (3, 15), (20, 31), (11, 17)}
37           37           83         407             15              0.0020        {(23, 24), (6, 15), (4, 9), (8, 29), (27, 36), (3, 13), (0, 2), (21, 25), (17, 31), (1, 32), (22, 28), (16, 30), (12, 34), (7, 18), (11, 33)}
37           37           166        858             15              0.0058        {(0, 1), (7, 33), (16, 35), (6, 8), (11, 32), (27, 36), (21, 25), (12, 34), (28, 31), (19, 22), (13, 15), (10, 18), (4, 30), (2, 24), (9, 26)}
37           37           333        1890            17              0.0194        {(13, 27), (7, 17), (5, 19), (4, 9), (30, 36), (15, 23), (24, 31), (8, 29), (2, 32), (26, 35), (3, 6), (11, 21), (1, 16), (20, 28), (10, 22), (12, 18), (0, 33)}
37           37           499        3007            17              0.0393        {(12, 33), (20, 30), (18, 26), (10, 27), (21, 32), (24, 36), (8, 29), (2, 3), (15, 16), (5, 13), (17, 25), (19, 22), (7, 31), (4, 11), (0, 14), (1, 9), (6, 28)}
38           38           87         462             15              0.0023        {(12, 17), (13, 33), (15, 30), (2, 36), (4, 32), (1, 24), (7, 16), (21, 27), (20, 29), (3, 22), (0, 34), (19, 28), (9, 11), (14, 31), (10, 18)}
38           38           175        928             17              0.0063        {(9, 10), (23, 27), (12, 17), (33, 36), (0, 4), (15, 30), (1, 24), (2, 16), (8, 29), (6, 7), (13, 32), (11, 31), (26, 35), (19, 28), (34, 37), (22, 25), (3, 21)}
38           38           351        2086            18              0.0217        {(9, 10), (18, 34), (7, 33), (4, 23), (2, 17), (29, 36), (0, 14), (5, 30), (1, 24), (16, 32), (21, 22), (19, 26), (8, 13), (12, 31), (25, 27), (20, 28), (11, 37), (3, 15)}
38           38           527        3319            18              0.0443        {(28, 33), (26, 34), (0, 20), (4, 13), (3, 27), (1, 5), (16, 35), (8, 36), (23, 29), (17, 19), (9, 25), (24, 32), (7, 15), (11, 18), (21, 37), (10, 22), (12, 14), (2, 30)}
39           39           92         475             16              0.0024        {(12, 17), (22, 37), (9, 27), (28, 36), (0, 29), (10, 33), (4, 21), (1, 7), (13, 32), (8, 19), (3, 6), (31, 38), (11, 18), (16, 30), (14, 15), (24, 34)}
39           39           185        1004            16              0.0070        {(30, 36), (1, 24), (4, 38), (0, 9), (10, 33), (28, 29), (8, 26), (7, 32), (16, 37), (6, 20), (12, 34), (5, 17), (23, 31), (18, 21), (13, 15), (11, 27)}
39           39           370        2254            17              0.0240        {(17, 33), (0, 30), (13, 27), (10, 11), (1, 15), (18, 23), (24, 36), (4, 38), (7, 16), (25, 28), (19, 26), (29, 32), (8, 9), (21, 34), (20, 22), (2, 37), (3, 31)}
