N Nodes,Vertices,Edges,Attemps,Operations,Time
87,87,2805,43,39888,1.4448
88,88,478,39,5586,0.0546
88,88,957,42,12281,0.1843
88,88,1914,43,26514,0.7177
88,88,2871,44,41107,1.5725
89,89,489,39,5780,0.0570
89,89,979,44,12860,0.1982
89,89,1958,44,27563,0.7578
89,89,2937,43,42662,1.5829
90,90,500,42,6074,0.0605
90,90,1001,44,13046,0.1993
90,90,2002,43,28251,0.7811
90,90,3003,45,44502,1.6937
91,91,511,42,6371,0.0637
91,91,1023,43,13545,0.2105
91,91,2047,44,29224,0.8226
91,91,3071,45,45197,1.7566
92,92,523,41,6553,0.0682
92,92,1046,44,13946,0.2199
92,92,2093,45,30742,0.8780
92,92,3139,45,47147,1.7972
93,93,534,42,6812,0.0697
93,93,1069,45,14577,0.2291
93,93,2139,45,31735,0.9022
93,93,3208,46,48944,1.8661
94,94,546,42,6950,0.0704
94,94,1092,44,14900,0.2358
94,94,2185,46,32379,0.9701
94,94,3278,47,50280,1.9877
95,95,558,41,7270,0.0796
95,95,1116,45,15453,0.2528
95,95,2232,46,33700,0.9799
95,95,3348,47,51953,2.0181
96,96,570,43,7285,0.0784
96,96,1140,45,15760,0.2545
96,96,2280,46,34249,0.9906
96,96,3420,48,53495,2.1324
97,97,582,43,7750,0.0838
97,97,1164,46,16300,0.2645
97,97,2328,48,35605,1.0460
97,97,3492,48,55125,2.1790
98,98,594,44,7819,0.0821
98,98,1188,47,16753,0.2711
98,98,2376,48,36770,1.0851
98,98,3564,48,57130,2.3114
99,99,606,45,8123,0.0870
99,99,1212,47,17143,0.2800
99,99,2425,48,37893,1.1308
99,99,3638,49,58971,2.3564
100,100,618,44,8079,0.0846
100,100,1237,49,17536,0.2893
100,100,2475,49,38713,1.1592
100,100,3712,49,60027,2.4618
